읍면동명,업종명,연령대,1인당 이용금액
강정동,소매업,10_20,130609.477124183
건입동,소매업,10_20,229820.54794520547
구좌읍,소매업,10_20,480232.4950980392
남원읍,소매업,10_20,218139.29961089493
내도동,소매업,10_20,101500.0
노형동,소매업,10_20,426868.9970501475
대정읍,소매업,10_20,233947.53333333333
대포동,소매업,10_20,90330.23255813954
도남동,소매업,10_20,465410.1206896552
도두이동,소매업,10_20,145572.27272727274
도두일동,소매업,10_20,149301.29032258064
도련이동,소매업,10_20,48000.0
도련일동,소매업,10_20,197685.93277310923
도순동,소매업,10_20,88915.25423728813
도평동,소매업,10_20,78500.0
동홍동,소매업,10_20,63698.13953488372
법환동,소매업,10_20,135010.14492753622
보목동,소매업,10_20,131428.57142857142
봉개동,소매업,10_20,87220.77922077922
삼도이동,소매업,10_20,202550.34782608695
삼도일동,소매업,10_20,150309.61538461538
삼양삼동,소매업,10_20,75040.0
삼양이동,소매업,10_20,112708.69565217392
삼양일동,소매업,10_20,326198.275862069
상예동,소매업,10_20,61895.454545454544
상효동,소매업,10_20,59555.555555555555
색달동,소매업,10_20,121822.11538461539
서귀동,소매업,10_20,923764.4917647059
서호동,소매업,10_20,194538.82352941178
서홍동,소매업,10_20,50756.8085106383
성산읍,소매업,10_20,620929.0411764706
신효동,소매업,10_20,103885.9649122807
아라이동,소매업,10_20,134218.40277777778
아라일동,소매업,10_20,155595.82278481012
안덕면,소매업,10_20,513483.9776951673
애월읍,소매업,10_20,243472.0664206642
연동,소매업,10_20,565272.1959459459
영평동,소매업,10_20,162254.38596491228
오등동,소매업,10_20,48098.07692307692
오라삼동,소매업,10_20,127237.07692307692
오라이동,소매업,10_20,177133.6448598131
오라일동,소매업,10_20,195611.87272727274
외도이동,소매업,10_20,42000.0
외도일동,소매업,10_20,197607.72826086957
용강동,소매업,10_20,112772.72727272728
용담삼동,소매업,10_20,200283.50515463916
용담이동,소매업,10_20,427566.3732394366
용담일동,소매업,10_20,288294.0
우도면,소매업,10_20,217455.38461538462
월평동,소매업,10_20,75600.0
이도이동,소매업,10_20,600399.1003344482
이도일동,소매업,10_20,781887.7325581395
이호이동,소매업,10_20,50157.142857142855
이호일동,소매업,10_20,72611.13043478261
일도이동,소매업,10_20,271568.80149812734
일도일동,소매업,10_20,639251.8950131234
조천읍,소매업,10_20,81671.48427672956
중문동,소매업,10_20,162619.76923076922
추자면,소매업,10_20,88125.0
토평동,소매업,10_20,80079.03225806452
표선면,소매업,10_20,317131.4262820513
하예동,소매업,10_20,106871.42857142857
하원동,소매업,10_20,49902.17391304348
하효동,소매업,10_20,135949.31506849316
한경면,소매업,10_20,126448.34905660378
한림읍,소매업,10_20,283353.5064935065
해안동,소매업,10_20,258728.26086956522
호근동,소매업,10_20,166526.7857142857
화북이동,소매업,10_20,77832.55813953489
화북일동,소매업,10_20,148479.898989899
회수동,소매업,10_20,195848.48484848486
회천동,소매업,10_20,188730.76923076922
강정동,소매업,30_40_50,524223.60568383656
건입동,소매업,30_40_50,836423.5652892562
구좌읍,소매업,30_40_50,597184.6384266263
남원읍,소매업,30_40_50,999006.9291925466
내도동,소매업,30_40_50,163387.09677419355
노형동,소매업,30_40_50,1228738.8194444445
대정읍,소매업,30_40_50,877374.815455594
대포동,소매업,30_40_50,158727.51322751323
도남동,소매업,30_40_50,944742.6820349762
도두이동,소매업,30_40_50,364018.28571428574
도두일동,소매업,30_40_50,585797.8645833334
도련이동,소매업,30_40_50,413801.5037593985
도련일동,소매업,30_40_50,463844.07380952383
도순동,소매업,30_40_50,255457.034375
도평동,소매업,30_40_50,132023.50684931508
동홍동,소매업,30_40_50,724689.1974522293
법환동,소매업,30_40_50,483974.65045592707
보목동,소매업,30_40_50,378330.9482758621
봉개동,소매업,30_40_50,314861.8005540166
삼도이동,소매업,30_40_50,523857.8133595285
