년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
2018-01,서귀포시,남원읍,건강보조식품 소매업,7,789000,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,골프장 운영업,3277,484029251,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,과실 및 채소 소매업,1251,103272305,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,관광 민예품 및 선물용품 소매업,147,5320500,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,그외 기타 종합 소매업,9,5640000,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,기타 외국식 음식점업,173,4998000,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,기타 주점업,181,30267000,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,기타음식료품위주종합소매업,8313,325416720,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,비알콜 음료점업,432,5110800,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,빵 및 과자류 소매업,1003,13434780,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,서양식 음식점업,2660,48084140,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,수산물 소매업,254,32195623,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,슈퍼마켓,3466,92992380,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,스포츠 및 레크레이션 용품 임대업,219,7098300,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,여관업,185,21222900,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,욕탕업,24,409500,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,육류 소매업,616,35235290,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,일반유흥 주점업,118,25700000,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,일식 음식점업,645,64090500,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,전시 및 행사 대행업,1151,38565500,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,중식 음식점업,547,16013500,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,차량용 가스 충전업,288,28677810,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,차량용 주유소 운영업,6602,422083972,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,체인화 편의점,8907,98943550,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",471,11932060,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,한식 음식점업,9949,467551076,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,화장품 및 방향제 소매업,105,3816200,15559582.61,2020-12-15
2018-01,서귀포시,남원읍,휴양콘도 운영업,3559,184375670,15559582.61,2020-12-15
2018-01,서귀포시,대륜동,건강보조식품 소매업,225,34499910,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,과실 및 채소 소매업,659,115976229,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,관광 민예품 및 선물용품 소매업,27,486800,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,그외 기타 종합 소매업,22,14780000,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,기타 대형 종합 소매업,24166,1518752900,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,기타 외국식 음식점업,1200,58721500,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,기타 주점업,31,7150000,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,기타음식료품위주종합소매업,1777,51669470,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,내항 여객 운송업,2,43300,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,비알콜 음료점업,1850,16939897,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,빵 및 과자류 소매업,2050,35032540,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,서양식 음식점업,2510,62150250,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,수산물 소매업,137,10955500,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,슈퍼마켓,2717,69264735,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,여관업,1299,152014337,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,욕탕업,124,9901500,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,육류 소매업,31,2431300,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,일반유흥 주점업,106,11287000,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,일식 음식점업,827,37512000,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,전시 및 행사 대행업,317,13863500,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,중식 음식점업,1446,41868650,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,차량용 가스 충전업,398,13273046,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,차량용 주유소 운영업,6133,352900745,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,체인화 편의점,18651,175415640,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,"피자, 햄버거, 샌드위치 및 유사 음식점업",447,15140635,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,한식 음식점업,13823,606206727,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,호텔업,26,9608000,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,화장품 및 방향제 소매업,12,2074000,15981159.24,2020-12-15
2018-01,서귀포시,대륜동,휴양콘도 운영업,48,99405500,15981159.24,2020-12-15
2018-01,서귀포시,대정읍,건강보조식품 소매업,35,7267050,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,과실 및 채소 소매업,496,28288010,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,관광 민예품 및 선물용품 소매업,4,1570000,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,그외 기타 분류안된 오락관련 서비스업,17,944000,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,그외 기타 종합 소매업,4,1350000,17485798.33,2020-12-15
