,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구
13,2018-01,서귀포시,남원읍,문화레저,219,7098300,15559582.61
724,2018-01,제주시,애월읍,문화레저,475,16703600,40822918.85
757,2018-01,제주시,연동,문화레저,4303,656403500,55595923.86
788,2018-01,제주시,오라동,문화레저,392,118655200,19417674.89
813,2018-01,제주시,외도동,문화레저,105,4294000,10339083.3
832,2018-01,제주시,용담1동,문화레저,1,300000,8297165.637
842,2018-01,제주시,용담1동,문화레저,57,7441000,8297165.637
869,2018-01,제주시,용담2동,문화레저,86,7187000,18246425.72
891,2018-01,제주시,우도면,문화레저,188,8940000,1599777.085
907,2018-01,제주시,이도1동,문화레저,18,621000,11734115.4
696,2018-01,제주시,아라동,문화레저,131,29050200,34700908.53
945,2018-01,제주시,이도2동,문화레저,1035,155934360,61542277.26
996,2018-01,제주시,일도1동,문화레저,7334,1091253114,3489566.8260000004
1025,2018-01,제주시,일도2동,문화레저,737,61441300,30822257.35
1054,2018-01,제주시,조천읍,문화레저,630,26294300,22137393.64
1071,2018-01,제주시,추자면,문화레저,2,1240000,1796079.171
1075,2018-01,제주시,추자면,문화레저,7,707000,1796079.171
1089,2018-01,제주시,한경면,문화레저,1,120000,6465975.054
1097,2018-01,제주시,한경면,문화레저,13,328000,6465975.054
1125,2018-01,제주시,한림읍,문화레저,226,10917724,21344447.95
1153,2018-01,제주시,화북동,문화레저,228,14693100,26071733.11
972,2018-01,제주시,이호동,문화레저,125,4559400,4708526.847
668,2018-01,제주시,삼양동,문화레저,418,18269610,18073463.18
916,2018-01,제주시,이도1동,문화레저,348,67976050,11734115.4
612,2018-01,제주시,삼도1동,문화레저,237,56557460,11922468.38
643,2018-01,제주시,삼도2동,문화레저,209,28291600,7661265.906
70,2018-01,서귀포시,대정읍,문화레저,442,34155800,17485798.33
94,2018-01,서귀포시,대천동,문화레저,36,11914900,9229592.656
122,2018-01,서귀포시,동홍동,문화레저,974,60760500,18264222.17
146,2018-01,서귀포시,서홍동,문화레저,2,62000,6487279.695
172,2018-01,서귀포시,성산읍,문화레저,64,2776000,15980584.65
203,2018-01,서귀포시,송산동,문화레저,3895,582107350,21188818.56
258,2018-01,서귀포시,영천동,문화레저,24,4318500,6073651.207
282,2018-01,서귀포시,예래동,문화레저,316,33318400,8508221.576
312,2018-01,서귀포시,정방동,문화레저,2899,520808350,5340965.659
342,2018-01,서귀포시,중문동,문화레저,344,13984800,9311094.464
235,2018-01,서귀포시,안덕면,문화레저,416,21969700,18587691.57
372,2018-01,서귀포시,중앙동,문화레저,2899,520808350,5178366.488
566,2018-01,제주시,도두동,문화레저,311,12946000,3909025.986
559,2018-01,제주시,도두동,문화레저,2,530000,3909025.986
538,2018-01,제주시,노형동,문화레저,737,219472200,57307567.03
506,2018-01,제주시,구좌읍,문화레저,54,2606700,14287903.32
588,2018-01,제주시,봉개동,문화레저,25,832000,5530947.296
455,2018-01,서귀포시,효돈동,문화레저,5,217000,4123773.745
