,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구
2,2018-01,서귀포시,남원읍,소매업,1251,103272305,15559582.61
867,2018-01,제주시,용담2동,소매업,1414,111414440,18246425.72
859,2018-01,제주시,용담2동,소매업,2232,113371650,18246425.72
846,2018-01,제주시,용담1동,소매업,1624,130714290,8297165.637
840,2018-01,제주시,용담1동,소매업,105,14880500,8297165.637
829,2018-01,제주시,용담1동,소매업,662,49834850,8297165.637
816,2018-01,제주시,외도동,소매업,385,69643388,10339083.3
811,2018-01,제주시,외도동,소매업,186,15016000,10339083.3
803,2018-01,제주시,외도동,소매업,133,19633850,10339083.3
792,2018-01,제주시,오라동,소매업,1199,60773996,19417674.89
786,2018-01,제주시,오라동,소매업,6,4644360,19417674.89
776,2018-01,제주시,오라동,소매업,384,23816400,19417674.89
761,2018-01,제주시,연동,소매업,749,48465350,55595923.86
755,2018-01,제주시,연동,소매업,268,67118200,55595923.86
873,2018-01,제주시,용담2동,소매업,866,42381480,18246425.72
742,2018-01,제주시,연동,소매업,771,106473740,55595923.86
722,2018-01,제주시,애월읍,소매업,64,5544000,40822918.85
712,2018-01,제주시,애월읍,소매업,664,65819140,40822918.85
700,2018-01,제주시,아라동,소매업,2428,98585986,34700908.53
694,2018-01,제주시,아라동,소매업,18,11250500,34700908.53
684,2018-01,제주시,아라동,소매업,485,29008850,34700908.53
672,2018-01,제주시,삼양동,소매업,582,65231466,18073463.18
666,2018-01,제주시,삼양동,소매업,19,7771000,18073463.18
657,2018-01,제주시,삼양동,소매업,799,73077900,18073463.18
647,2018-01,제주시,삼도2동,소매업,177,21717660,7661265.906
641,2018-01,제주시,삼도2동,소매업,20,12465000,7661265.906
629,2018-01,제주시,삼도2동,소매업,89,3009000,7661265.906
616,2018-01,제주시,삼도1동,소매업,633,77415470,11922468.38
610,2018-01,제주시,삼도1동,소매업,59,9248000,11922468.38
727,2018-01,제주시,애월읍,소매업,752,38793030,40822918.85
889,2018-01,제주시,우도면,소매업,41,2609000,1599777.085
894,2018-01,제주시,우도면,소매업,24,936100,1599777.085
