,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구
14,2018-01,서귀포시,남원읍,숙박,185,21222900,15559582.61
814,2018-01,제주시,외도동,숙박,1235,71001700,10339083.3
789,2018-01,제주시,오라동,숙박,361,78629000,19417674.89
773,2018-01,제주시,연동,숙박,3916,1229481564,55595923.86
758,2018-01,제주시,연동,숙박,6261,760550933,55595923.86
740,2018-01,제주시,애월읍,숙박,56,7578008,40822918.85
738,2018-01,제주시,애월읍,숙박,34,4420000,40822918.85
725,2018-01,제주시,애월읍,숙박,2284,320499754,40822918.85
826,2018-01,제주시,외도동,숙박,168,55168370,10339083.3
697,2018-01,제주시,아라동,숙박,301,31664504,34700908.53
654,2018-01,제주시,삼도2동,숙박,2055,483267245,7661265.906
644,2018-01,제주시,삼도2동,숙박,1147,34281753,7661265.906
626,2018-01,제주시,삼도1동,숙박,305,81268732,11922468.38
613,2018-01,제주시,삼도1동,숙박,706,48118300,11922468.38
598,2018-01,제주시,봉개동,숙박,1858,278187400,5530947.296
589,2018-01,제주시,봉개동,숙박,96,2982870,5530947.296
567,2018-01,제주시,도두동,숙박,275,88051290,3909025.986
669,2018-01,제주시,삼양동,숙박,208,29847160,18073463.18
856,2018-01,제주시,용담1동,숙박,50,14673000,8297165.637
870,2018-01,제주시,용담2동,숙박,396,45317886,18246425.72
892,2018-01,제주시,우도면,숙박,63,3095600,1599777.085
1154,2018-01,제주시,화북동,숙박,1,50000,26071733.11
1139,2018-01,제주시,한림읍,숙박,172,20978600,21344447.95
1126,2018-01,제주시,한림읍,숙박,1446,212245570,21344447.95
1110,2018-01,제주시,한경면,숙박,9,887000,6465975.054
1098,2018-01,제주시,한경면,숙박,91,4050900,6465975.054
1076,2018-01,제주시,추자면,숙박,32,8996000,1796079.171
1069,2018-01,제주시,조천읍,숙박,3103,387370960,22137393.64
1067,2018-01,제주시,조천읍,숙박,108,23027000,22137393.64
1055,2018-01,제주시,조천읍,숙박,1700,155220089,22137393.64
1038,2018-01,제주시,일도2동,숙박,24,9001000,30822257.35
1026,2018-01,제주시,일도2동,숙박,241,20878000,30822257.35
1008,2018-01,제주시,일도1동,숙박,21,1654400,3489566.8260000004
997,2018-01,제주시,일도1동,숙박,482,48488800,3489566.8260000004
973,2018-01,제주시,이호동,숙박,127,37515100,4708526.847
946,2018-01,제주시,이도2동,숙박,1391,147135539,61542277.26
929,2018-01,제주시,이도1동,숙박,1183,316614190,11734115.4
917,2018-01,제주시,이도1동,숙박,412,19312650,11734115.4
555,2018-01,제주시,노형동,숙박,52,18061760,57307567.03
553,2018-01,제주시,노형동,숙박,131,9765000,57307567.03
843,2018-01,제주시,용담1동,숙박,167,22893000,8297165.637
520,2018-01,제주시,구좌읍,숙박,16,678100,14287903.32
236,2018-01,서귀포시,안덕면,숙박,4848,128561090,18587691.57
219,2018-01,서귀포시,송산동,숙박,7,1010000,21188818.56
217,2018-01,서귀포시,송산동,숙박,688,93354785,21188818.56
204,2018-01,서귀포시,송산동,숙박,3816,611042170,21188818.56
187,2018-01,서귀포시,성산읍,숙박,1670,200158747,15980584.65
185,2018-01,서귀포시,성산읍,숙박,33,1920000,15980584.65
173,2018-01,서귀포시,성산읍,숙박,2034,190504458,15980584.65
147,2018-01,서귀포시,서홍동,숙박,47,2363600,6487279.695
123,2018-01,서귀포시,동홍동,숙박,110,9283500,18264222.17
108,2018-01,서귀포시,대천동,숙박,711,89009978,9229592.656
106,2018-01,서귀포시,대천동,숙박,288,33438630,9229592.656
95,2018-01,서귀포시,대천동,숙박,744,194228980,9229592.656
71,2018-01,서귀포시,대정읍,숙박,487,51836600,17485798.33
56,2018-01,서귀포시,대륜동,숙박,48,99405500,15981159.24
54,2018-01,서귀포시,대륜동,숙박,26,9608000,15981159.24
42,2018-01,서귀포시,대륜동,숙박,1299,152014337,15981159.24
539,2018-01,제주시,노형동,숙박,1530,192868384,57307567.03
249,2018-01,서귀포시,안덕면,숙박,3601,382904736,18587691.57
259,2018-01,서귀포시,영천동,숙박,195,9125600,6073651.207
27,2018-01,서귀포시,남원읍,숙박,3559,184375670,15559582.61
507,2018-01,제주시,구좌읍,숙박,241,14277200,14287903.32
267,2018-01,서귀포시,영천동,숙박,649,89739785,6073651.207
491,2018-01,제주시,건입동,숙박,34,1580000,10891053.62
479,2018-01,제주시,건입동,숙박,1744,202051356,10891053.62
456,2018-01,서귀포시,효돈동,숙박,8,12273000,4123773.745
446,2018-01,서귀포시,표선면,숙박,1356,184916860,11046152.56
416,2018-01,서귀포시,천지동,숙박,39,3615000,8824750.432
403,2018-01,서귀포시,천지동,숙박,3715,600619170,8824750.432
385,2018-01,서귀포시,중앙동,숙박,39,3615000,5178366.488
432,2018-01,서귀포시,표선면,숙박,464,33607176,11046152.56
356,2018-01,서귀포시,중문동,숙박,187,28903784,9311094.464
343,2018-01,서귀포시,중문동,숙박,1517,268045425,9311094.464
325,2018-01,서귀포시,정방동,숙박,39,3615000,5340965.659
268,2018-01,서귀포시,영천동,숙박,7,1010000,6073651.207
313,2018-01,서귀포시,정방동,숙박,3668,598255570,5340965.659
297,2018-01,서귀포시,예래동,숙박,209,97571744,8508221.576
295,2018-01,서귀포시,예래동,숙박,5423,1765693775,8508221.576
283,2018-01,서귀포시,예래동,숙박,1463,357162302,8508221.576
373,2018-01,서귀포시,중앙동,숙박,3668,598255570,5178366.488
1894,2018-02,제주시,애월읍,숙박,1783,217918413,35726452.19
1907,2018-02,제주시,애월읍,숙박,78,8382500,35726452.19
1958,2018-02,제주시,오라동,숙박,230,22784000,17523941.65
1927,2018-02,제주시,연동,숙박,5092,618085813,49000378.47
1942,2018-02,제주시,연동,숙박,3690,1269659631,49000378.47
1866,2018-02,제주시,아라동,숙박,294,49013694,30713771.55
1909,2018-02,제주시,애월읍,숙박,51,6980000,35726452.19
1838,2018-02,제주시,삼양동,숙박,174,13850604,16825461.11
1724,2018-02,제주시,노형동,숙박,92,5795000,50212724.54
1812,2018-02,제주시,삼도2동,숙박,980,28717562,6747760.061000001
1794,2018-02,제주시,삼도1동,숙박,271,34958691,10602680.62
1781,2018-02,제주시,삼도1동,숙박,598,42672312,10602680.62
1766,2018-02,제주시,봉개동,숙박,1258,168107900,4525419.608
1758,2018-02,제주시,봉개동,숙박,95,5044950,4525419.608
1737,2018-02,제주시,도두동,숙박,196,79310693,3303408.328
1726,2018-02,제주시,노형동,숙박,35,18190600,50212724.54
1984,2018-02,제주시,외도동,숙박,922,48346240,8805047.683
1823,2018-02,제주시,삼도2동,숙박,1688,500017692,6747760.061000001
1996,2018-02,제주시,외도동,숙박,146,24647056,8805047.683
2177,2018-02,제주시,일도1동,숙박,36,2517000,3110511.747
2025,2018-02,제주시,용담1동,숙박,35,9870000,7544084.295
2306,2018-02,제주시,한림읍,숙박,110,13140250,18461802.8
2293,2018-02,제주시,한림읍,숙박,1174,129372800,18461802.8
2277,2018-02,제주시,한경면,숙박,7,715000,5884051.572000001
2265,2018-02,제주시,한경면,숙박,98,6131500,5884051.572000001
2244,2018-02,제주시,추자면,숙박,31,3783000,1449205.24
2238,2018-02,제주시,조천읍,숙박,1978,248057910,19010257.8
2236,2018-02,제주시,조천읍,숙박,79,6049010,19010257.8
2224,2018-02,제주시,조천읍,숙박,1113,101298863,19010257.8
2207,2018-02,제주시,일도2동,숙박,20,2902000,28251765.75
2195,2018-02,제주시,일도2동,숙박,219,15386000,28251765.75
2166,2018-02,제주시,일도1동,숙박,403,23436700,3110511.747
2141,2018-02,제주시,이호동,숙박,88,21293560,4227222.954
2114,2018-02,제주시,이도2동,숙박,1244,160981497,55069282.47
2097,2018-02,제주시,이도1동,숙박,1011,298695270,10518265.35
2086,2018-02,제주시,이도1동,숙박,417,17360100,10518265.35
2061,2018-02,제주시,우도면,숙박,82,2640000,1438287.186
2039,2018-02,제주시,용담2동,숙박,237,21765350,16192668.17
2012,2018-02,제주시,용담1동,숙박,141,10770900,7544084.295
1710,2018-02,제주시,노형동,숙박,1231,216902487,50212724.54
1421,2018-02,서귀포시,안덕면,숙박,3391,392222017,16522569.39
1678,2018-02,제주시,구좌읍,숙박,182,11501450,12646801.62
1389,2018-02,서귀포시,송산동,숙박,658,224105423,18763956.04
1376,2018-02,서귀포시,송산동,숙박,3018,555112077,18763956.04
1359,2018-02,서귀포시,성산읍,숙박,1362,121890856,13875723.07
1357,2018-02,서귀포시,성산읍,숙박,27,1450000,13875723.07
1345,2018-02,서귀포시,성산읍,숙박,1642,141143982,13875723.07
1319,2018-02,서귀포시,서홍동,숙박,21,4258000,5799798.696
1294,2018-02,서귀포시,동홍동,숙박,91,13093500,16226998.8
1391,2018-02,서귀포시,송산동,숙박,1,150000,18763956.04
1279,2018-02,서귀포시,대천동,숙박,642,91484276,7477152.528
1266,2018-02,서귀포시,대천동,숙박,587,205157755,7477152.528
1240,2018-02,서귀포시,대정읍,숙박,393,31958036,15506929.03
1225,2018-02,서귀포시,대륜동,숙박,36,36217500,14123407.92
1223,2018-02,서귀포시,대륜동,숙박,14,8553260,14123407.92
1211,2018-02,서귀포시,대륜동,숙박,1004,155194085,14123407.92
1195,2018-02,서귀포시,남원읍,숙박,1967,151001120,13128211.65
1691,2018-02,제주시,구좌읍,숙박,31,1310600,12646801.62
1277,2018-02,서귀포시,대천동,숙박,208,8720220,7477152.528
1408,2018-02,서귀포시,안덕면,숙박,3701,123168827,16522569.39
1182,2018-02,서귀포시,남원읍,숙박,129,9369000,13128211.65
1661,2018-02,제주시,건입동,숙박,34,2340000,9867498.851
1649,2018-02,제주시,건입동,숙박,1396,207370662,9867498.851
1627,2018-02,서귀포시,효돈동,숙박,4,591000,3691113.858
1617,2018-02,서귀포시,표선면,숙박,1045,159138290,9594845.562
1604,2018-02,서귀포시,표선면,숙박,373,30709600,9594845.562
1431,2018-02,서귀포시,영천동,숙박,133,7536700,5309482.9180000005
