,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구
5,2018-01,서귀포시,남원읍,식음료,173,4998000,15559582.61
737,2018-01,제주시,애월읍,식음료,28406,1227267757,40822918.85
747,2018-01,제주시,연동,식음료,2957,149932850,55595923.86
752,2018-01,제주시,연동,식음료,7395,100730485,55595923.86
763,2018-01,제주시,연동,식음료,4557,368670630,55595923.86
767,2018-01,제주시,연동,식음료,5524,196660620,55595923.86
771,2018-01,제주시,연동,식음료,2999,62062440,55595923.86
772,2018-01,제주시,연동,식음료,82977,4197577626,55595923.86
780,2018-01,제주시,오라동,식음료,90,2536000,19417674.89
783,2018-01,제주시,오라동,식음료,4568,54389690,19417674.89
794,2018-01,제주시,오라동,식음료,117,23182000,19417674.89
796,2018-01,제주시,오라동,식음료,403,12507000,19417674.89
800,2018-01,제주시,오라동,식음료,21694,888857339,19417674.89
736,2018-01,제주시,애월읍,식음료,127,4380900,40822918.85
805,2018-01,제주시,외도동,식음료,1081,28764000,10339083.3
817,2018-01,제주시,외도동,식음료,494,41959000,10339083.3
820,2018-01,제주시,외도동,식음료,1327,33449000,10339083.3
824,2018-01,제주시,외도동,식음료,3340,52762660,10339083.3
825,2018-01,제주시,외도동,식음료,15486,609203315,10339083.3
833,2018-01,제주시,용담1동,식음료,41,4042000,8297165.637
837,2018-01,제주시,용담1동,식음료,41,499500,8297165.637
848,2018-01,제주시,용담1동,식음료,245,42098000,8297165.637
851,2018-01,제주시,용담1동,식음료,442,13230500,8297165.637
855,2018-01,제주시,용담1동,식음료,5196,302966484,8297165.637
862,2018-01,제주시,용담2동,식음료,118,6408500,18246425.72
864,2018-01,제주시,용담2동,식음료,22376,204466220,18246425.72
874,2018-01,제주시,용담2동,식음료,2138,133579240,18246425.72
808,2018-01,제주시,외도동,식음료,744,10305950,10339083.3
876,2018-01,제주시,용담2동,식음료,897,29567170,18246425.72
732,2018-01,제주시,애월읍,식음료,1388,41932500,40822918.85
719,2018-01,제주시,애월읍,식음료,4154,62263370,40822918.85
597,2018-01,제주시,봉개동,식음료,2824,100545900,5530947.296
603,2018-01,제주시,삼도1동,식음료,321,5021000,11922468.38
607,2018-01,제주시,삼도1동,식음료,183,2217100,11922468.38
618,2018-01,제주시,삼도1동,식음료,549,39741500,11922468.38
621,2018-01,제주시,삼도1동,식음료,795,21638500,11922468.38
624,2018-01,제주시,삼도1동,식음료,315,7006000,11922468.38
625,2018-01,제주시,삼도1동,식음료,9818,359860181,11922468.38
635,2018-01,제주시,삼도2동,식음료,425,26348100,7661265.906
638,2018-01,제주시,삼도2동,식음료,68,544500,7661265.906
649,2018-01,제주시,삼도2동,식음료,68,6610000,7661265.906
650,2018-01,제주시,삼도2동,식음료,1028,30774000,7661265.906
652,2018-01,제주시,삼도2동,식음료,762,8064350,7661265.906
729,2018-01,제주시,애월읍,식음료,860,80746400,40822918.85
653,2018-01,제주시,삼도2동,식음료,15340,647203514,7661265.906
663,2018-01,제주시,삼양동,식음료,2791,23847100,18073463.18
673,2018-01,제주시,삼양동,식음료,425,26295500,18073463.18
675,2018-01,제주시,삼양동,식음료,1821,56278700,18073463.18
679,2018-01,제주시,삼양동,식음료,2674,46749160,18073463.18
680,2018-01,제주시,삼양동,식음료,11943,532720433,18073463.18
687,2018-01,제주시,아라동,식음료,1685,51100000,34700908.53
691,2018-01,제주시,아라동,식음료,5165,53007950,34700908.53
701,2018-01,제주시,아라동,식음료,2281,120707800,34700908.53
703,2018-01,제주시,아라동,식음료,2352,76434700,34700908.53
707,2018-01,제주시,아라동,식음료,5484,88926365,34700908.53
708,2018-01,제주시,아라동,식음료,32757,1417456721,34700908.53
716,2018-01,제주시,애월읍,식음료,610,23552900,40822918.85
660,2018-01,제주시,삼양동,식음료,751,16620800,18073463.18
880,2018-01,제주시,용담2동,식음료,35995,1262460085,18246425.72
886,2018-01,제주시,우도면,식음료,598,12440700,1599777.085
895,2018-01,제주시,우도면,식음료,35,2991000,1599777.085
1037,2018-01,제주시,일도2동,식음료,30026,1221273978,30822257.35
1046,2018-01,제주시,조천읍,식음료,623,17643500,22137393.64
1049,2018-01,제주시,조천읍,식음료,987,11594160,22137393.64
1059,2018-01,제주시,조천읍,식음료,916,96683512,22137393.64
1061,2018-01,제주시,조천읍,식음료,1213,37479750,22137393.64
1065,2018-01,제주시,조천읍,식음료,1716,35288310,22137393.64
1066,2018-01,제주시,조천읍,식음료,25014,1074695838,22137393.64
1080,2018-01,제주시,추자면,식음료,85,3542000,1796079.171
1084,2018-01,제주시,추자면,식음료,559,47152500,1796079.171
1092,2018-01,제주시,한경면,식음료,74,2127400,6465975.054
1101,2018-01,제주시,한경면,식음료,205,11169100,6465975.054
1103,2018-01,제주시,한경면,식음료,639,18934500,6465975.054
1036,2018-01,제주시,일도2동,식음료,7223,79791633,30822257.35
1107,2018-01,제주시,한경면,식음료,351,17274800,6465975.054
1116,2018-01,제주시,한림읍,식음료,596,19024500,21344447.95
1120,2018-01,제주시,한림읍,식음료,1310,15417750,21344447.95
1130,2018-01,제주시,한림읍,식음료,809,76489054,21344447.95
